,US S&P 500
2004-07-27,121.18852586242966
2004-07-28,121.35669947806791
2004-07-29,121.96987181823211
2004-07-30,122.15478181295477
2004-08-02,122.5397185318956
2004-08-03,121.69871548290527
2004-08-04,121.5660391874218
2004-08-05,119.57629966756691
2004-08-06,117.7547337633503
2004-08-09,117.93343510131582
2004-08-10,119.45887507237806
2004-08-11,119.13993907418129
2004-08-12,117.74663551540623
2004-08-13,118.00793898240114
2004-08-16,119.58142855793147
2004-08-17,119.80750464636975
2004-08-18,121.35561971167536
2004-08-19,120.76984644372189
2004-08-20,121.6756354762647
2004-08-23,121.4313383299523
2004-08-24,121.37357082795135
2004-08-25,122.4159503091506
2004-08-26,122.3796431642014
2004-08-27,122.82882598349846
2004-08-30,121.77335433478964
2004-08-31,122.34698023082706
2004-09-01,122.59519153031239
2004-09-02,123.98701041029771
2004-09-03,123.46548324270043
2004-09-06,123.46548324270043
2004-09-07,124.27530803710616
2004-09-08,123.72935115487762
2004-09-09,123.8432665092907
2004-09-10,124.5256788693766
2004-09-13,124.77348525646474
2004-09-14,125.08567271470817
2004-09-15,124.09768646553319
2004-09-16,124.46386224340363
2004-09-17,124.96446893714544
2004-09-20,124.32403249556958
2004-09-21,125.0258806507212
2004-09-22,123.33604624639459
2004-09-23,122.76296023355346
2004-09-24,123.07258324661458
2004-09-27,122.31188782306945
2004-09-28,123.05098791876377
2004-09-29,123.40083222994704
2004-09-30,123.37572766132045
2004-10-01,125.37707466989517
2004-10-04,125.74460015575627
2004-10-05,125.70626844882109
2004-10-06,126.52675593635314
2004-10-07,125.25870527911285
2004-10-08,124.29096464979801
2004-10-11,124.59599865569082
2004-10-12,124.3135047732423
2004-10-13,123.25195943857545
2004-10-14,122.19567796507225
2004-10-15,122.72462852661825
2004-10-18,123.33226706402067
2004-10-19,122.21430393534358
2004-10-20,122.14816824380046
2004-10-21,122.46130049763732
2004-10-22,121.34981596731545
2004-10-25,121.1700348629574
2004-10-26,122.97837362886538
2004-10-27,124.6845394998792
2004-10-28,124.87741277174682
2004-10-29,125.02372111793612
2004-11-01,125.17380864649932
2004-11-02,125.21645941900468
2004-11-03,126.6186710505182
2004-11-04,128.53201709810082
2004-11-05,129.12143457762912
2004-11-08,129.06137257204404
2004-11-09,129.03707782821186
2004-11-10,128.9660831879023
2004-11-11,130.08890526534583
2004-11-12,131.14815609642852
2004-11-15,131.26625554561272
